id,text,foot_notes
25,ߕߟߏߜߋߘߋ߲ ߠߎ߫ ߟߋ߬ ߸ ߓߏߓߏ ߟߎ߫ ߟߋ߬ ߸ ߝߎߦߋ߲ ߠߎ߫ ߟߋ߬ ، ߏ߬ ߘߐ߫ ߸ ߊ߬ߟߎ߬ ߕߍߣߵߊ߬ߟߎ߬ ߞߐߛߊ߬ߦߌ߬ ߟߊ߫ ߟߋ߬ ߘߍ߯.,
26,ߥߟߴߊ߬ߟߎ߬ ߟߊߒߡߊ ߟߋ߬ ߦߏ߫ ߛߊ߲ߖߌ߫ ( ߞߘߐ߫ ߡߐ߮ ߟߎ߬) ߸ ߏ ߕߎ߬ߡߊ ߘߌ߬ߓߌ ߘߏ߲߬ߣߍ߲߬ ߘߍ߲߫ ߸ ߞߵߊ߬ ߕߘߍ߬ ߛߊ߲ ߔߍߙߍ߲߫ ߠߊ߫ ߸ ߊ߰ ߡߍ߯ߡߍ߯ ߟߊ߫ ، ߊ߬ߟߎ߬ ߦߴߊ߬ߟߎ߬ ߓߟߏߞߏ߬ߋ߬ߣߍ߲ ߠߎ߬ ߛߐߙߐ߲߫ ߠߴߊ߬ߟߎ߬ ߕߟߏߥߏ ߟߎ߬ ߟߊ߫ ߛߊ߲ߜߊߟߌߡߊ ߟߎ߬ ߞߊ߲ ߢߍ߫ ߛߊ߬ߦߊ ߢߍߛߌߟߊ߲ߒߢߍ ߡߊ߬ ، ߞߵߊ߬ ߕߘߍ߬ ߓߊ߲߬ߓߊ߮ ߟߎ߬ ߟߊߝߏ߬ߣߍ߲߫ ߠߋ߬ ߊߟߊ߫ ߓߟߏ߫ ߔߘߋߞߎ߬.,
27,ߛߊ߲ߢߊ߯ߢߊ߮ ߓߍ߫ ߢߌߣߌ߲߫ ߞߵߊ߬ߟߎ߬ ߢߊߘߋ߲ ߠߎ߫ ߕߵߊ߬ ߘߐ߫ ߟߊߎ߫ ، ߏ߬ ߓߊ߯ ߡߍ߯ߡߍ߯ ߊ߬ߟߎ߬ ߢߊߞߘߐ߫ ߞߏߕߊ߲߫ ߊ߬ߟߎ߬ ߘߴߊ߬ߟߎ߬ ߕߊ߯ߡߊ߫ ߏ߬ ( ߦߋߟߋ߲ ) ߠߊ߫ ߸ ߘߌ߬ߓߌ ߘߏ߲߬ߘߴߊ߬ߟߎ߫ ߡߊ߬ ߕߋ߲߬ ߸ ߊ߬ߟߎ߬ ߘߴߊ߬ߟߎ߫ ߟߐ߬ ߖߌ߲ߖߊ߲߫ ، ߊ߬ ߘߏ߲߬ ߕߘߍ߬ ߓߊ߯ ߘߌߦߴߊߟߊ߫ ߢߍ߫ ߸ ߊ߬ ߕߎ߲߬ ߘߴߊ߬ߟߎ߬ ߕߟߏߘߋ߲ ߠߎ߬ ߣߴߊ߬ߟߎ߬ ߢߊߘߋ߲ ߠߎ߬ ߟߊߕߊ߯ ߞߐߍ߫ ߸ ߓߊ ߊߟߊ߫ ߛߋ߫ ߟߊ߫ ߞߏ ߓߍ߯ ߟߊ߫.,
28,ߤߍ߲߬ ߊߟߎ߬ ߡߐ߱ ߟߎ߬ ߸ ߊߟߎ߫ ߦߴߊߟߎ߫ ߡߊ߰ߙߌ ߓߊ߬ߕߏ߬ ߸ ߏ߬ ߡߍ߲ ߞߵߊߟߎ߫ ߣߴߊߟߎ߫ ߢߍߓߊ߮ ߟߎ߬ ߘߊ߲߫ ߛߴߊߟߎ߫ ߘߌ߫ ߝߊ߲ߕߊ߲߬ߞߊ߫.,
29,ߊ߬ߟߋ ߟߋ߫ ߞߊ߬ ߘߎ߱ ߞߍ߫ ߊߟߎ߫ ߦߋ߫ ߣߊ߲߬ߞߊ߲ ߘߌ߫ ، ߞߊ߬ ߛߊ߲ ߞߍ߫ ( ߊߟߎ߫ ߞߎ߲߬ߘߐ߫ ) ߓߟߌ ߘߌ߫ ، ߞߊ߬ ߖߌ ߟߊߖߌ߰ ߞߊ߬ ߓߐ߫ ߡߐ߲ߕߐ߲ ߘߐ߫ ߸ ߞߊ߬ ߦߙߌߘߋ߲ ߠߎ߬ ߟߊߝߍߘߍ߲߫ ߏ߬ ߟߊ߫ ߊߟߎ߫ ߓߊߟߏ ߘߌ߫ ، ߒ߬ߓߵߊߟߎ߫ ߞߊߣߵߊߟߎ߫ ߕߊߥߎ߫ ߡߎ߬ߕߎ߲߬ ߞߊ߬ ߢߐ߲߰ߘߐ߬ ߜߘߍ߫ ߟߎ߫ ߞߍ߫ ߊߟߊ߫ ߟߊ߫ ߘߋ߬ ߞߵߊ߬ ߕߘߍ߬ ߛߎߋ߯ ߊߟߎ߫ ߞߵߊ߬ ߟߐ߲߫.,
30,ߣߴߊߟߎ߫ ߞߍ߫ ߘߊ߫ ߛߌߞߊ߫ ߘߐ߫ ߒ߬ ߠߊ߫ ߟߍߙߊ߫ ߟߊߖߌ߰ߣߍ߲ ߘߐ߫ ߒ߬ ߠߊ߫ ߖߐ߲߭ ߡߊ߬ ߸ ߒ߬ߓߵߊߟߎ߫ ߣߵߊ߬ ߕߊ ߢߐ߲߰ ߛߎ߯ߙߊ߫ ߞߋߟߋ߲߫ ߘߌ߫ ߓߊ߫ ߸ ߊߟߎ߫ ߝߣߴߊߟߎ߫ ߛߙߋ ߟߎ߬ ߞߟߌ߫ ߏ ߡߊ߬ ߡߍ߲ ߠߎ߬ ߕߍ߫ ߊߟߊ߫ ߘߌ߫ ߣߴߊߟߎ߫ ߞߍ߫ ߘߊ߫ ߕߎ߬ߢߊ߬ ߕߌ߯ ߘߌ߫.,
31,ߣߴߊߟߎ߫ ߡߊ߫ ߛߴߏ߬ ߞߍ߫ ߟߊ߫ ߊߟߎ߫ ߘߏ߲߬ ߜߎ ߕߍߣߊ߬ ߛߋ߫ ߟߴߏ߬ ߞߍ߫ ߟߊ߫، ߏ߬ ߘߐ߫ ߊߟߎ߫ ߦߋ߫ ߕߊ ߡߊߕߊ߲߬ߞߊ߫ ߸ ߡߍ߲ ߢߐ߲߬ߛߐ߲ ߦߋ߫ ߡߐ߱ ߟߎ߬ ߣߌ߫ ߝߘߊ ߟߎ߬ ߘߌ߫ ، ߏ߬ ߟߋ ߘߐߓߍ߲߬ߣߍ߲߫ ߓߊ߲߬ߓߊ߮ ߟߎ߬ ߢߍ߫.,
32,ߌ ߘߟߊߝߎ߬ ߘߍ߲߬ߞߣߍ߬ߦߊ߬ߓߊ߯ ߢߌ߬ߡߊ߬ ߞߍ߬ߟߊ ߟߎ߬ ߦߋ߫ ߸ ߞߏ߫ ߊ߬ߟߎ߬ ߢߍߛߌ߰ߣߍ߲߫ ߣߊߞߐ ߟߎ߬ ߟߊ߫ ߸ ߖߌߢߊ ߟߎ߯ ߥߦߏ߬ ߟߊ߫ ߡߍ߲ ߠߎ߬ ߞߘߐߟߊ ߟߎ߬ ߘߐ߫ ߞߎߟߊ߲ߞߎߟߊ߲߫ ، ߏ߬ ߟߎ߬ ߓߊ߯ ߛߐ߫ ߦߙߌߘߋ߲ ߛߎ߮ ߘߏ߫ ߟߊ߫ ߦߋ߲߬ ߞߏߕߊ߲߫ ߸ ߊ߬ߟߎ߬ ߘߴߊ߬ ߝߐ߫ ߞߏ߫ ߝߋ߲߫ ߠߋ߬ ߣߌ߲߬ ߸ ߡߍ߲ ߢߐ߲߰ ߕߘߍ߬ ߓߘߊ߫ ߘߌ߫ ߒ߬ ߡߊ߬ ߞߘߐ߬ߡߊ߲߫ ߸ ߓߊߏ߬ ߊ߬ߟߎ߬ ߛߐߣߍ߲߫ ߏ߬ ߟߊߡߎߣߎ߲ߧߊ ߟߋ߬ ߟߊ߫ ، ߊ߬ߟߎ߬ ߢߍߛߌ߰ߣߍ߲߬ ߝߘߎߡߊ߫ ߛߊߣߌ߲ߡߊ߲ ߠߎ߬ ߝߣߊ߫ ߟߊ߫ ߦߋ߲߬ ߸ ߒ߬ߓߊ߬ ߏ߬ ߟߎ߬ ߘߎߡߊߕߐ߫ ( ߡߍ߲ߘߌߦߊ ) ߏ߬ ߟߋ ߘߐ߫.,
33,ߝߋߎ߫ ߊߟߊ߫ ߕߍ߫ ߕߎ߲߬ߞߎ߬ߙߎ߲߬ ߠߊ߫ ߛߊ߲߬ߘߊ ߟߊ ߘߐ߫ ߝߋ߲ ߛߎ߯-ߎ-ߛߎ߯ ߡߊ߬ ߸ ߞߵߊ߬ ߕߊ߬ ߛߏ߬ߛߏ߬ߣߍ߲ ߢߐ߲߰ ߡߊ߬ ߸ ߞߵߊ߬ ߛߌ߰ ߝߋ߲߫ ߠߊ߫ ߡߍ߲ ߦߴߏ߬ ߛߊ߲ߘߐ߫ ، ߡߍ߲ ߠߎ߫ ߞߏ߬ߣߌ߲ ߘߍ߲߬ߞߣߍ߬ߦߊ߬ߣߍ߲߫ ߸ ߏ߬ ߟߎ߫ ߞߵߊ߬ ߟߐ߲߫ ߞߏ߫ ߊ߬ߟߎ߫ ߡߊ߰ߙߌ ߟߊ߫ ߛߊ߲߬ߘߊ ߦߋ߫ ߕߎ߬ߢߊ߫ ߟߋ߬ ߘߌ߫ ، ߒ߬ߓߊ߬ ߡߍ߲ ߠߎ߫ ߓߊ߲߬ߣߍ߲߬ ߛߊ߫ ߸ ߏ߬ ߟߎ߫ ߟߴߊ߬ ߝߐ߫ ߟߊ߫ ߞߏ߫ ߊߟߊ߫ ߣߊ߬ ߛߊ߲߬ߘߊ ߣߌ߲߬ ߟߊ߫ ߟߊ߫ ߡߋ߬ߘߋ ߘߐ߫ ߓߏ߲߰؟ ߊߟߊ߫ ߘߏ߲߬ ߦߋ߫ ߡߐ߰ ߛߌߦߊߡߊ߲߫ ߠߊߝߟߌ߬ ߟߊ߫ ߏ߬ ߟߋ ߟߊ߫ ߸ ߞߊ߬ ߡߐ߰ ߛߌߦߊߡߊ߲߫ ߞߊ߲ߘߴߊ߬ ߟߊ߫ ، ߞߏ߬ߣߵߊ߬ ߕߍ߫ ߡߐ߰ ߛߌ߫ ߟߊߝߟߌ߬ ߟߴߊ߬ ߟߊ߫ ߝߏ߫ ߔߊߟߊ߲ߞߊߓߊ߯ߕߐ ߟߎ߬.,
34,ߏ߬ ߟߎ߫ ߟߋ߬ ߊߟߊ߫ ߟߊ߫ ߟߊ߬ߤߘߌ ߕߌߢߍ߫ ߟߊ߫ ߸ ߊ߬ ߘߐߖߊ߬ߣߍ߲ ߞߐ߫ ߜߘߋߜߘߋ߫ ، ߊ߬ ߣߌ߫ ߝߣߊ߫ ߸ ߊߟߊ߫ ߞߵߊ߬ߟߎ߫ ߟߐ߬ ߝߋ߲ ߡߍ߲ ߕߎ߲߰ ߠߊ߫ ߸ ߊ߬ߟߎ߬ ߘߴߊ߬ ߞߍ߫ ߏ߬ ߕߍ߱ ߘߌ߫ ߸ ߊ߬ ߣߌ߫ ߞߵߊ߬ ߞߍ߫ ߕߌߢߍߟߌ ߘߌ߫ ߖߡߊ߬ߣߊ ߞߣߐ߫ ، ߒ߬ߓߊ߬ ߏ߬ ߟߎ߫ ߟߋ߬ ߓߣߐ߬ߓߊ߮ ߟߎ߬ ߘߌ߫.,
35,ߐ߲߬ߤߐ߲߫ ߸ ߊߟߎ߫ ߦߋ߫ ߓߊ߲߬ߓߊ߰ߦߊ ߟߐ߬ ߟߴߊߟߊ߫ ߡߊ߬ ߘߌ߬ ߛߊ߫؟ ߊߟߎ߫ ߕߘߍ߬ ߣߌߒߕߊ߲ ߠߎ߫ ߟߋ߬ ߘߌ߫ ߊߟߊ߫ ߟߋ߫ ߞߵߊߟߎ߫ ߟߊߣߌߡߦߊ߫ ߸ ߏ߬ ߞߐ߫ ߊ߬ ߘߴߊߟߎ߫ ߛߊ߬ ߸ ߊ߬ ߘߌ߫ ߓߊ߲߫ ߞߵߊߟߎ߫ ߟߊߣߌߡߦߊ߫ ߕߎ߲߯ߣߌ߲߫ ، ߏ߬ ߞߐ߫ ߕߘߋ߫ ߊߟߎ߫ ߣߊ߬ߕߐ߫ ߟߊߛߊ߬ߦߌ߬ ߟߴߊ߬ߟߋ ߟߋ߫ ߡߊ߬.,
36,ߊ߬ߟߋ ߟߋ߫ ߞߊ߬ ߘߎ߱ ߝߋ߲ ߓߍ߯ ߘߊ߲߫ ߊߟߎ߫ ߟߊ߫ ߞߏ߫ ߟߊ߫ ߸ ߞߊ߬ ߓߊ߲߫ ߞߊ߬ ߛߊ߲ ߡߊߜߍ߲߫ ߸ ߞߵߏ߬ ߟߊߞߢߊ߫ ߛߊ߲߫ ߥߐߙߐ߲ߥߌ߬ߟߊ߬ ߘߌ߫ ، ߒ߬ߓߵߊߟߊ߫ ߏ߬ ߟߋ ߞߊ߬ ߞߏ ߓߍ߯ ߟߐ߲߫ ߕߊߦߌ߫.,
37,ߕߎ߬ߡߊ ߡߍ߲ ߌ ߡߊ߰ߙߌ ߞߵߊ߬ ߝߐ߫ ߡߟߍ߬ߞߊ ߟߎ߬ ߦߋ߫ ߸ ߞߏ߫ ߒ ߓߴߊ߬ ߝߍ߬ ߞߊ߬ ߞߐߦߌߘߊߓߊ߯ ߞߍ߫ ߘߎ߱ ߞߊ߲߬ ، ߏ߬ ߟߎ߫ ߞߵߊ߬ ߖߋ߬ߓߌ߬ ߞߏ߫ ߌ߬ߦߏ߯ ߌ ߘߌ߫ ߝߋ߲߫ ߠߊߛߌ߰ ߊ߬ ߞߊ߲߬ ߡߎ߬ߕߎ߲߬ ߡߍ߲ ߘߴߊ߬ ߞߍ߫ ߕߌߢߍߟߌ ߘߴߊ߬ ߞߊ߲߬ ߸ ߊ߬ ߣߌ߫ ߞߊ߬ ߢߐ߲߮ ߖߋ߬ߟߌ ߟߊߓߐ߲߬؟ ߊ߲ߠߎ߫ ߘߏ߲߬ ߦߋ߫ ߛߊߣߌ߲ߧߊ ߟߊ߫ ߟߵߌ ߕߊ߲߬ߘߏ ߞߊ߲߬ ߞߍ߬ߣߍ߲ ߸ ߞߵߌ ߟߊ߫ ߓߛߍ߬ߦߊ ߝߐ߫ ، ߊߟߊ߫ ߞߊ߲߫ ߏ߬ ߟߋ ߘߐ߫ ߸ ߞߏ߫ ߒߠߋ ߞߊ߬ ߡߍ߲ ߟߐ߲߫ ߊߟߎ ߡߴߏ߬ ߟߐ߲߫.,
38,ߊߟߊ߫ ߣߊ߬ ߘߴߊߘߡߊ߫ ߟߊߟߐ߲ߠߌ߲߫ ߝߋ߲ ߓߍ߯ ߕߐ߮ ߟߊ߫ ߸ ߞߊ߬ ߓߊ߲߫ ߞߵߏ߬ ߟߎ߫ ߟߐ߬ ߡߟߍ߬ߞߊ ߟߎ߬ ߦߋ߫ ߸ ߞߏ߫ ߊߟߎ߫ ߝߋ߲ ߢߌ߲߬ ߠߎ߬ ߕߐ߮ ߝߐ߫ ߒ ߧߋ߫ ߓߊ߫ ߣߴߊ߬ ߕߘߍ߬ ߘߊ߫ ߖߏ߫ ߦߴߊߟߎ߫ ߝߍ߬.,
39,ߊ߬ߟߎ߬ ߞߊ߲߫ ߞߏ߫ ߋ߯ ߡߊ߰ߙߌ߬ ߛߊߣߌ߲߹ ߒ߬ߠߎ߬ ߡߊ߫ ߝߋ߲-ߋ-ߝߋ߲߫ ߟߐ߲߫ ߝߏ߫ ߌ ߓߊ߯ ߒ߬ ߞߊ߬ߙߊ߲߬ ߡߍ߲ ߠߊ߫ ، ߌߟߋ ߟߋ߬ ߟߐ߲ߠߌ߲ߠߊ ߘߌ߫ ߸ ߌߟߋ ߟߋ߫ ߥߘߋ߬ߥߘߋ߬ߟߌ߬ߟߊ ߘߌ߫.,
