id,text,foot_notes
40,Qala ya adamu anbi/humbi-asma-ihim falamma anbaahum bi-asma-ihim qalaalam aqul lakum innee aAAlamu ghayba assamawatiwal-ardi waaAAlamu ma tubdoona wamakuntum taktumoon,
41,Wa-ith qulna lilmala-ikatiosjudoo li-adama fasajadoo illa ibleesa abawastakbara wakana mina alkafireen,
42,Waqulna ya adamu oskunanta wazawjuka aljannata wakula minha raghadan haythushi/tuma wala taqraba hathihi ashshajaratafatakoona mina aththalimeen,
43,Faazallahuma ashshaytanuAAanha faakhrajahuma mimma kanafeehi waqulna ihbitoo baAAdukum libaAAdinAAaduwwun walakum fee al-ardi mustaqarrun wamataAAunila heen,
44,Fatalaqqa adamu min rabbihikalimatin fataba AAalayhi innahu huwa attawwabuarraheem,
45,Qulna ihbitoo minhajameeAAan fa-imma ya/tiyannakum minnee hudan faman tabiAAahudaya fala khawfun AAalayhim wala hum yahzanoon,
46,Wallatheena kafaroo wakaththaboobi-ayatina ola-ika as-habuannari hum feeha khalidoon,
47,Ya banee isra-eela othkurooniAAmatiya allatee anAAamtu AAalaykum waawfoo biAAahdee oofibiAAahdikum wa-iyyaya farhaboon,
48,Waaminoo bima anzaltu musaddiqanlima maAAakum wala takoonoo awwala kafirinbihi wala tashtaroo bi-ayatee thamananqaleelan wa-iyyaya fattaqoon,
49,Wala talbisoo alhaqqa bilbatiliwataktumoo alhaqqa waantum taAAlamoon,
50,Waaqeemoo assalata waatooazzakata warkaAAoo maAAa arrakiAAeen,
51,Ata/muroona annasa bilbirriwatansawna anfusakum waantum tatloona alkitaba afalataAAqiloon,
52,WastaAAeenoo bissabriwassalati wa-innaha lakabeeratunilla AAala alkhashiAAeen,
53,Allatheena yathunnoonaannahum mulaqoo rabbihim waannahum ilayhi rajiAAoon,
54,Ya banee isra-eela othkurooniAAmatiya allatee anAAamtu AAalaykum waannee faddaltukumAAala alAAalameen,
55,Wattaqoo yawman la tajzeenafsun AAan nafsin shay-an wala yuqbalu minha shafaAAatunwala yu/khathu minha AAadlun wala humyunsaroon,
56,Wa-ith najjaynakum min alifirAAawna yasoomoonakum soo-a alAAathabi yuthabbihoonaabnaakum wayastahyoona nisaakum wafee thalikumbalaon min rabbikum AAatheem,
57,Wa-ith faraqna bikumu albahrafaanjaynakum waaghraqna ala firAAawnawaantum tanthuroon,
58,Wa-ith waAAadna moosaarbaAAeena laylatan thumma ittakhathtumu alAAijla minbaAAdihi waantum thalimoon,
59,Thumma AAafawna AAankum min baAAdi thalikalaAAallakum tashkuroon,
60,Wa-ith atayna moosaalkitaba walfurqana laAAallakum tahtadoon,
61,Wa-ith qala moosaliqawmihi ya qawmi innakum thalamtumanfusakum bittikhathikumu alAAijla fatooboo ilabari-ikum faqtuloo anfusakum thalikumkhayrun lakum AAinda bari-ikum fataba AAalaykuminnahu huwa attawwabu arraheem,
62,Wa-ith qultum ya moosalan nu/mina laka hatta nara Allahajahratan faakhathatkumu assaAAiqatu waantumtanthuroon,
63,Thumma baAAathnakum min baAAdimawtikum laAAallakum tashkuroon,
64,Wathallalna AAalaykumualghamama waanzalna AAalaykumu almanna wassalwakuloo min tayyibati ma razaqnakum wamathalamoona walakin kanooanfusahum yathlimoon,
65,Wa-ith qulna odkhuloo hathihialqaryata fakuloo minha haythu shi/tum raghadan wadkhulooalbaba sujjadan waqooloo hittatun naghfirlakum khatayakum wasanazeedu almuhsineen,
66,Fabaddala allatheena thalamooqawlan ghayra allathee qeela lahum faanzalna AAalaallatheena thalamoo rijzan mina assama-ibima kanoo yafsuqoon,
67,Wa-ithi istasqa moosaliqawmihi faqulna idrib biAAasaka alhajarafanfajarat minhu ithnata AAashrata AAaynan qadAAalima kullu onasin mashrabahum kuloo washraboomin rizqi Allahi wala taAAthaw fee al-ardimufsideen,
68,Wa-ith qultum ya moosalan nasbira AAala taAAamin wahidinfadAAu lana rabbaka yukhrij lana mimmatunbitu al-ardu min baqliha waqiththa-ihawafoomiha waAAadasiha wabasaliha qalaatastabdiloona allathee huwa adna billatheehuwa khayrun ihbitoo misran fa-inna lakum masaaltum waduribat AAalayhimu aththillatu walmaskanatuwabaoo bighadabin mina Allahi thalikabi-annahum kanoo yakfuroona bi-ayati Allahiwayaqtuloona annabiyyeena bighayri alhaqqi thalikabima AAasaw wakanoo yaAAtadoon,
69,Inna allatheena amanoo wallatheenahadoo wannasara wassabi-eenaman amana biAllahi walyawmi al-akhiriwaAAamila salihan falahum ajruhum AAinda rabbihimwala khawfun AAalayhim wala hum yahzanoon,
70,Wa-ith akhathna meethaqakumwarafaAAna fawqakumu attoora khuthooma ataynakum biquwwatin wathkurooma feehi laAAallakum tattaqoon,
71,Thumma tawallaytum min baAAdi thalikafalawla fadlu Allahi AAalaykum warahmatuhulakuntum mina alkhasireen,
72,Walaqad AAalimtumu allatheenaiAAtadaw minkum fee assabti faqulna lahum koonooqiradatan khasi-een,
73,FajaAAalnaha nakalanlima bayna yadayha wama khalfahawamawAAithatan lilmuttaqeen,
74,Wa-ith qala moosaliqawmihi inna Allaha ya/murukum an tathbahoobaqaratan qaloo atattakhithuna huzuwan qalaaAAoothu biAllahi an akoona mina aljahileen,
75,Qaloo odAAu lana rabbakayubayyin lana ma hiya qala innahu yaqooluinnaha baqaratun la faridun walabikrun AAawanun bayna thalika fafAAaloo matu/maroon,
76,Qaloo odAAu lana rabbakayubayyin lana ma lawnuha qala innahuyaqoolu innaha baqaratun safrao faqiAAunlawnuha tasurru annathireen,
77,Qaloo odAAu lana rabbakayubayyin lana ma hiya inna albaqara tashabahaAAalayna wa-inna in shaa Allahulamuhtadoon,
78,Qala innahu yaqoolu innahabaqaratun la thaloolun tutheeru al-arda walatasqee alhartha musallamatun la shiyata feehaqaloo al-ana ji/ta bilhaqqi fathabahoohawama kadoo yafAAaloon,
79,Wa-ith qataltum nafsan faddara/tumfeeha wallahu mukhrijun ma kuntumtaktumoon,
80,Faqulna idriboohu bibaAAdihakathalika yuhyee Allahu almawtawayureekum ayatihi laAAallakum taAAqiloon,
81,Thumma qasat quloobukum min baAAdi thalikafahiya kalhijarati aw ashaddu qaswatanwa-inna mina alhijarati lama yatafajjaruminhu al-anharu wa-inna minha lamayashshaqqaqu fayakhruju minhu almao wa-inna minhalama yahbitu min khashyati Allahi wamaAllahu bighafilin AAamma taAAmaloon,
82,AfatatmaAAoona an yu/minoo lakumwaqad kana fareequn minhum yasmaAAoona kalama Allahithumma yuharrifoonahu min baAAdi ma AAaqaloohuwahum yaAAlamoon,
83,Wa-itha laqoo allatheena amanooqaloo amanna wa-itha khalabaAAduhum ila baAAdin qaloo atuhaddithoonahumbima fataha Allahu AAalaykum liyuhajjookumbihi AAinda rabbikum afala taAAqiloon,
84,Awa la yaAAlamoona anna AllahayaAAlamu ma yusirroona wama yuAAlinoon,
85,Waminhum ommiyyoona la yaAAlamoonaalkitaba illa amaniyya wa-in hum illayathunnoon,
86,Fawaylun lillatheena yaktuboona alkitababi-aydeehim thumma yaqooloona hatha min AAindi Allahiliyashtaroo bihi thamanan qaleelan fawaylun lahum mimmakatabat aydeehim wawaylun lahum mimma yaksiboon,
87,Waqaloo lan tamassana annaruilla ayyaman maAAdoodatan qul attakhathtumAAinda Allahi AAahdan falan yukhlifa AllahuAAahdahu am taqooloona AAala Allahi ma lataAAlamoon,
88,Bala man kasaba sayyi-atan waahatatbihi khatee-atuhu faola-ika as-habu annarihum feeha khalidoon,
89,Wallatheena amanoowaAAamiloo assalihati ola-ika as-habualjannati hum feeha khalidoon,
90,Wa-ith akhathna meethaqabanee isra-eela la taAAbudoona illa Allahawabilwalidayni ihsanan watheealqurba walyatama walmasakeeniwaqooloo linnasi husnan waaqeemoo assalatawaatoo azzakata thumma tawallaytum illaqaleelan minkum waantum muAAridoon,
91,Wa-ith akhathna meethaqakumla tasfikoona dimaakum wala tukhrijoonaanfusakum min diyarikum thumma aqrartum waantum tashhadoon,
92,Thumma antum haola-itaqtuloona anfusakum watukhrijoona fareeqan minkum min diyarihimtathaharoona AAalayhim bil-ithmi walAAudwaniwa-in ya/tookum osara tufadoohum wahuwa muharramunAAalaykum ikhrajuhum afatu/minoona bibaAAdi alkitabiwatakfuroona bibaAAdin fama jazao manyafAAalu thalika minkum illa khizyun fee alhayatiaddunya wayawma alqiyamati yuraddoona ilaashaddi alAAathabi wama Allahu bighafilinAAamma taAAmaloon,
93,Ola-ika allatheena ishtarawooalhayata addunya bil-akhiratifala yukhaffafu AAanhumu alAAathabu wala humyunsaroon,
94,Walaqad atayna moosaalkitaba waqaffayna min baAAdihi birrusuliwaatayna AAeesa ibna maryama albayyinatiwaayyadnahu biroohi alqudusi afakullama jaakumrasoolun bima la tahwa anfusukumuistakbartum fafareeqan kaththabtum wafareeqan taqtuloon,
95,Waqaloo quloobuna ghulfun ballaAAanahumu Allahu bikufrihim faqaleelan mayu/minoon,
96,Walamma jaahum kitabunmin AAindi Allahi musaddiqun lima maAAahumwakanoo min qablu yastaftihoona AAala allatheenakafaroo falamma jaahum ma AAarafoo kafaroobihi falaAAnatu Allahi AAala alkafireen,
97,Bi/sama ishtaraw bihi anfusahum anyakfuroo bima anzala Allahu baghyan an yunazzilaAllahu min fadlihi AAala man yashaomin AAibadihi fabaoo bighadabin AAalaghadabin walilkafireena AAathabun muheen,
98,Wa-itha qeela lahum aminoo bimaanzala Allahu qaloo nu/minu bima onzilaAAalayna wayakfuroona bima waraahu wahuwa alhaqqumusaddiqan lima maAAahum qul falima taqtuloonaanbiyaa Allahi min qablu in kuntum mu/mineen,
99,Walaqad jaakum moosa bilbayyinatithumma ittakhathtumu alAAijla min baAAdihi waantum thalimoon,
100,Wa-ith akhathna meethaqakumwarafaAAna fawqakumu attoora khuthooma ataynakum biquwwatin wasmaAAoo qaloosamiAAna waAAasayna waoshriboo feequloobihimu alAAijla bikufrihim qul bi/sama ya/murukumbihi eemanukum in kuntum mu/mineen,
101,Qul in kanat lakumu addarual-akhiratu AAinda Allahi khalisatanmin dooni annasi fatamannawoo almawta in kuntum sadiqeen,
102,Walan yatamannawhu abadan bimaqaddamat aydeehim wallahu AAaleemun biaththalimeen,
103,Walatajidannahum ahrasa annasiAAala hayatin wamina allatheenaashrakoo yawaddu ahaduhum law yuAAammaru alfa sanatin wamahuwa bimuzahzihihi mina alAAathabi anyuAAammara wallahu baseerun bimayaAAmaloon,
104,Qul man kana AAaduwwan lijibreelafa-innahu nazzalahu AAala qalbika bi-ithni Allahimusaddiqan lima bayna yadayhi wahudan wabushralilmu/mineen,
105,Man kana AAaduwwan lillahiwamala-ikatihi warusulihi wajibreela wameekalafa-inna Allaha AAaduwwun lilkafireen,
106,Walaqad anzalna ilayka ayatinbayyinatin wama yakfuru biha illa alfasiqoon,
107,Awa kullama AAahadoo AAahdannabathahu fareequn minhum bal aktharuhum layu/minoon,
108,Walamma jaahum rasoolun minAAindi Allahi musaddiqun lima maAAahum nabathafareequn mina allatheena ootoo alkitaba kitabaAllahi waraa thuhoorihim kaannahum layaAAlamoon,
109,WattabaAAoo ma tatloo ashshayateenuAAala mulki sulaymana wama kafara sulaymanuwalakinna ashshayateena kafarooyuAAallimoona annasa assihra wamaonzila AAala almalakayni bibabila harootawamaroota wama yuAAallimani min ahadinhatta yaqoola innama nahnufitnatun fala takfur fayataAAallamoona minhuma mayufarriqoona bihi bayna almar-i wazawjihi wama hum bidarreenabihi min ahadin illa bi-ithni AllahiwayataAAallamoona ma yadurruhum walayanfaAAuhum walaqad AAalimoo lamani ishtarahu malahu fee al-akhirati min khalaqin walabi/sa masharaw bihi anfusahum law kanoo yaAAlamoon,
110,Walaw annahum amanoo wattaqawlamathoobatun min AAindi Allahi khayrun law kanooyaAAlamoon,
111,Ya ayyuha allatheena amanoola taqooloo raAAina waqooloo onthurnawasmaAAoo walilkafireena AAathabun aleem,
112,Ma yawaddu allatheena kafaroomin ahli alkitabi wala almushrikeena an yunazzalaAAalaykum min khayrin min rabbikum wallahu yakhtassubirahmatihi man yashao wallahu thooalfadli alAAatheem,
113,Ma nansakh min ayatin awnunsiha na/ti bikhayrin minha aw mithlihaalam taAAlam anna Allaha AAala kulli shay-in qadeer,
114,Alam taAAlam anna Allaha lahu mulkuassamawati wal-ardi wamalakum min dooni Allahi min waliyyin wala naseer,
115,Am tureedoona an tas-aloo rasoolakum kamasu-ila moosa min qablu waman yatabaddali alkufra bil-eemanifaqad dalla sawaa assabeel,
116,Wadda katheerun min ahli alkitabilaw yaruddoonakum min baAAdi eemanikum kuffaran hasadanmin AAindi anfusihim min baAAdi ma tabayyana lahumu alhaqqufaAAfoo wasfahoo hattaya/tiya Allahu bi-amrihi inna Allaha AAalakulli shay-in qadeer,
117,Waaqeemoo assalata waatooazzakata wama tuqaddimoo li-anfusikum minkhayrin tajidoohu AAinda Allahi inna Allaha bimataAAmaloona baseer,
118,Waqaloo lan yadkhula aljannata illaman kana hoodan aw nasara tilka amaniyyuhumqul hatoo burhanakum in kuntum sadiqeen,
119,Bala man aslama wajhahu lillahiwahuwa muhsinun falahu ajruhu AAinda rabbihi walakhawfun AAalayhim wala hum yahzanoon,
120,Waqalati alyahoodu laysati annasaraAAala shay-in waqalati annasaralaysati alyahoodu AAala shay-in wahum yatloona alkitabakathalika qala allatheena layaAAlamoona mithla qawlihim fallahu yahkumubaynahum yawma alqiyamati feema kanoo feehiyakhtalifoon,
121,Waman athlamu mimman manaAAamasajida Allahi an yuthkara feehaismuhu wasaAAa fee kharabiha ola-ikama kana lahum an yadkhulooha illa kha-ifeenalahum fee addunya khizyun walahum fee al-akhiratiAAathabun AAatheem,
122,Walillahi almashriqu walmaghribufaaynama tuwalloo fathamma wajhu Allahi inna AllahawasiAAun AAaleem,
123,Waqaloo itakhatha Allahuwaladan subhanahu bal lahu ma fee assamawatiwal-ardi kullun lahu qanitoon,
124,BadeeAAu assamawatiwal-ardi wa-itha qada amran fa-innamayaqoolu lahu kun fayakoon,
125,Waqala allatheena layaAAlamoona lawla yukallimuna Allahu awta/teena ayatun kathalika qala allatheenamin qablihim mithla qawlihim tashabahat quloobuhum qadbayyanna al-ayati liqawmin yooqinoon,
126,Inna arsalnaka bilhaqqibasheeran wanatheeran wala tus-alu Aaan as-habialjaheem,
127,Walan tarda AAanka alyahoodu walaannasara hatta tattabiAAamillatahum qul inna huda Allahi huwa alhudawala-ini ittabaAAta ahwaahum baAAda allathee jaakamina alAAilmi ma laka mina Allahi min waliyyin walanaseer,
128,Allatheena ataynahumualkitaba yatloonahu haqqa tilawatihi ola-ikayu/minoona bihi waman yakfur bihi faola-ika humu alkhasiroon,
129,Ya banee isra-eela othkurooniAAmatiya allatee anAAamtu AAalaykum waannee faddaltukumAAala alAAalameen,
130,Wattaqoo yawman la tajzeenafsun AAan nafsin shay-an wala yuqbalu minhaAAadlun wala tanfaAAuha shafaAAatun walahum yunsaroon,
131,Wa-ithi ibtala ibraheemarabbuhu bikalimatin faatammahunna qala innee jaAAilukalinnasi imaman qala wamin thurriyyateeqala la yanalu AAahdee aththalimeen,
132,Wa-ith jaAAalna albayta mathabatanlinnasi waamnan wattakhithoo minmaqami ibraheema musallan waAAahidnaila ibraheema wa-ismaAAeela an tahhirabaytiya litta-ifeena walAAakifeenawarrukkaAAi assujood,
133,Wa-ith qala ibraheemurabbi ijAAal hatha baladan aminan warzuqahlahu mina aththamarati man amana minhumbillahi walyawmi al-akhiri qalawaman kafara faomattiAAuhu qaleelan thumma adtarruhu ilaAAathabi annari wabi/sa almaseer,
134,Wa-ith yarfaAAu ibraheemualqawaAAida mina albayti wa-ismaAAeelu rabbanataqabbal minna innaka anta assameeAAu alAAaleem,
135,Rabbana wajAAalnamuslimayni laka wamin thurriyyatina ommatanmuslimatan laka waarina manasikana watubAAalayna innaka anta attawwabu arraheem,
136,Rabbana wabAAath feehimrasoolan minhum yatloo AAalayhim ayatikawayuAAallimuhumu alkitaba walhikmatawayuzakkeehim innaka anta alAAazeezu alhakeem,
137,Waman yarghabu AAan millati ibraheemailla man safiha nafsahu walaqadi istafaynahufee addunya wa-innahu fee al-akhiratilamina assaliheen,
138,Ith qala lahu rabbuhu aslim qalaaslamtu lirabbi alAAalameen,
139,Wawassa biha ibraheemubaneehi wayaAAqoobu ya baniyya inna Allaha istafalakumu addeena fala tamootunna illa waantummuslimoon,
140,Am kuntum shuhadaa ith hadarayaAAqooba almawtu ith qala libaneehi mataAAbudoona min baAAdee qaloo naAAbudu ilahakawa-ilaha aba-ika ibraheema wa-ismaAAeelawa-ishaqa ilahan wahidan wanahnu lahumuslimoon,
141,Tilka ommatun qad khalat laha makasabat walakum ma kasabtum wala tus-aloona AAammakano yaAAmaloon,
142,Waqaloo koonoo hoodan aw nasaratahtadoo qul bal millata ibraheema haneefan wamakana mina almushrikeen,
143,Qooloo amanna billahiwama onzila ilayna wama onzila ilaibraheema wa-ismaAAeela wa-ishaqawayaAAqooba wal-asbati wama ootiya moosawaAAeesa wama ootiya annabiyyoona minrabbihim la nufarriqu bayna ahadin minhum wanahnulahu muslimoon,
144,Fa-in amanoo bimithli ma amantumbihi faqadi ihtadaw wa-in tawallaw fa-innama hum fee shiqaqinfasayakfeekahumu Allahu wahuwa assameeAAualAAaleem,
145,Sibghata Allahi waman ahsanumina Allahi sibghatan wanahnu lahu AAabidoon,
146,Qul atuhajjoonana fee Allahiwahuwa rabbuna warabbukum walana aAAmalunawalakum aAAmalukum wanahnu lahu mukhlisoon,
147,Am taqooloona inna ibraheema wa-ismaAAeelawa-ishaqa wayaAAqooba wal-asbata kanoohoodan aw nasara qul aantum aAAlamu ami Allahuwaman athlamu mimman katama shahadatanAAindahu mina Allahi wama Allahu bighafilinAAamma taAAmaloon,
148,Tilka ommatun qad khalat laha makasabat walakum ma kasabtum wala tus-aloona AAammakanoo yaAAmaloon,
149,Sayaqoolu assufahao mina annasima wallahum AAan qiblatihimu allatee kanooAAalayha qul lillahi almashriqu walmaghribuyahdee man yashao ila siratinmustaqeem,
150,Wakathalika jaAAalnakumommatan wasatan litakoonoo shuhadaa AAala annasiwayakoona arrasoolu AAalaykum shaheedan wamajaAAalna alqiblata allatee kunta AAalayha illalinaAAlama man yattabiAAu arrasoola mimman yanqalibu AAalaAAaqibayhi wa-in kanat lakabeeratan illa AAalaallatheena hada Allahu wama kanaAllahu liyudeeAAa eemanakum inna Allahabinnasi laraoofun raheem,
151,Qad nara taqalluba wajhika fee assama-ifalanuwalliyannaka qiblatan tardaha fawalli wajhakashatra almasjidi alharami wahaythu makuntum fawalloo wujoohakum shatrahu wa-inna allatheenaootoo alkitaba layaAAlamoona annahu alhaqqu minrabbihim wama Allahu bighafilin AAammayaAAmaloon,
152,Wala-in atayta allatheena ootooalkitaba bikulli ayatin ma tabiAAooqiblataka wama anta bitabiAAin qiblatahum wamabaAAduhum bitabiAAin qiblata baAAdinwala-ini ittabaAAta ahwaahum min baAAdi ma jaakamina alAAilmi innaka ithan lamina aththalimeen,
153,Allatheena ataynahumualkitaba yaAArifoonahu kama yaAArifoona abnaahumwa-inna fareeqan minhum layaktumoona alhaqqa wahumyaAAlamoon,
154,Alhaqqu min rabbika falatakoonanna mina almumtareen,
155,Walikullin wijhatun huwa muwalleehafastabiqoo alkhayrati aynama takoonoo ya/tibikumu Allahu jameeAAan inna Allaha AAalakulli shay-in qadeer,
156,Wamin haythu kharajta fawalliwajhaka shatra almasjidi alharami wa-innahulalhaqqu min rabbika wama Allahu bighafilinAAamma taAAmaloon,
157,Wamin haythu kharajta fawalliwajhaka shatra almasjidi alharami wahaythuma kuntum fawalloo wujoohakum shatrahu li-allayakoona linnasi AAalaykum hujjatun illaallatheena thalamoo minhum falatakhshawhum wakhshawnee wali-otimma niAAmatee AAalaykumwalaAAallakum tahtadoon,
158,Kama arsalna feekum rasoolanminkum yatloo AAalaykum ayatinawayuzakkeekum wayuAAallimukumu alkitaba walhikmatawayuAAallimukum ma lam takoonoo taAAlamoon,
159,Fathkuroonee athkurkumwashkuroo lee wala takfuroon,
160,Ya ayyuha allatheena amanooistaAAeenoo bissabri wassalatiinna Allaha maAAa assabireen,
161,Wala taqooloo liman yuqtalu feesabeeli Allahi amwatun bal ahyaon walakinla tashAAuroon,
162,Walanabluwannakum bishay-in mina alkhawfiwaljooAAi wanaqsin mina al-amwali wal-anfusiwaththamarati wabashshiri assabireen,
163,Allatheena itha asabat-hummuseebatun qaloo inna lillahi wa-innailayhi rajiAAoon,
164,Ola-ika AAalayhim salawatunmin rabbihim warahmatun waola-ika humu almuhtadoon,
165,Inna assafa walmarwatamin shaAAa-iri Allahi faman hajja albaytaawi iAAtamara fala junaha AAalayhi an yattawwafabihima waman tatawwaAAa khayran fa-inna Allahashakirun AAaleem,
166,Inna allatheena yaktumoona maanzalna mina albayyinati walhuda minbaAAdi ma bayyannahu linnasi feealkitabi ola-ika yalAAanuhumu AllahuwayalAAanuhumu allaAAinoon,
167,Illa allatheena taboowaaslahoo wabayyanoo faola-ika atoobuAAalayhim waana attawwabu arraheem,
168,Inna allatheena kafaroo wamatoowahum kuffarun ola-ika AAalayhim laAAnatu Allahiwalmala-ikati wannasi ajmaAAeen,
169,Khalideena feeha layukhaffafu AAanhumu alAAathabu wala hum yuntharoon,
170,Wa-ilahukum ilahun wahidunla ilaha illa huwa arrahmanuarraheem,
171,Inna fee khalqi assamawatiwal-ardi wakhtilafi allayli wannahariwalfulki allatee tajree fee albahri bimayanfaAAu annasa wama anzala Allahumina assama-i min ma-in faahyabihi al-arda baAAda mawtiha wabaththa feehamin kulli dabbatin watasreefi arriyahiwassahabi almusakhkhari bayna assama-iwal-ardi laayatin liqawminyaAAqiloon,
172,Wamina annasi man yattakhithumin dooni Allahi andadan yuhibboonahum kahubbiAllahi wallatheena amanoo ashaddu hubbanlillahi walaw yara allatheena thalamooith yarawna alAAathaba anna alquwwata lillahijameeAAan waanna Allaha shadeedu alAAathab,
173,Ith tabarraa allatheenaittubiAAoo mina allatheena ittabaAAoo waraawoo alAAathabawataqattaAAat bihimu al-asbab,
174,Waqala allatheena ittabaAAoolaw anna lana karratan fanatabarraa minhum kamatabarraoo minna kathalika yureehimu AllahuaAAmalahum hasaratin AAalayhim wamahum bikharijeena mina annar,
175,Ya ayyuha annasukuloo mimma fee al-ardi halalan tayyibanwala tattabiAAoo khutuwati ashshaytaniinnahu lakum AAaduwwun mubeen,
176,Innama ya/murukum bissoo-iwalfahsha-i waan taqooloo AAala Allahima la taAAlamoon,
177,Wa-itha qeela lahumu ittabiAAoo maanzala Allahu qaloo bal nattabiAAu ma alfaynaAAalayhi abaana awa law kana abaohumla yaAAqiloona shay-an wala yahtadoon,
178,Wamathalu allatheena kafarookamathali allathee yanAAiqu bima la yasmaAAuilla duAAaan wanidaan summun bukmunAAumyun fahum la yaAAqiloon,
179,Ya ayyuha allatheena amanookuloo min tayyibati ma razaqnakum washkuroolillahi in kuntum iyyahu taAAbudoon,
180,Innama harrama AAalaykumualmaytata waddama walahma alkhinzeeri wamaohilla bihi lighayri Allahi famani idturra ghayra baghinwala AAadin fala ithma AAalayhi inna Allahaghafoorun raheem,
